Date,High,Low
28-Apr-13,135.98,132.1
29-Apr-13,147.49,134
30-Apr-13,146.93,134.05
1-May-13,139.89,107.72
2-May-13,125.6,92.28
3-May-13,108.13,79.1
4-May-13,115,92.5
5-May-13,118.8,107.14
6-May-13,124.66,106.64
7-May-13,113.44,97.7
8-May-13,115.78,109.6
9-May-13,113.46,109.26
10-May-13,122,111.55
11-May-13,118.68,113.01
12-May-13,117.45,113.44
13-May-13,118.7,114.5
14-May-13,119.8,110.25
15-May-13,115.81,103.5
16-May-13,118.76,112.2
17-May-13,125.3,116.57
18-May-13,125.25,122.3
19-May-13,124.5,119.57
20-May-13,123.62,120.12
21-May-13,123,121.21
22-May-13,124,122
23-May-13,126.93,123.1
24-May-13,133.85,125.72
25-May-13,133.22,128.9
26-May-13,136,130.62
27-May-13,135.47,124.7
28-May-13,130.58,125.6
29-May-13,132.59,127.66
30-May-13,132.25,127
31-May-13,129.9,126.4
1-Jun-13,129.78,127.2
2-Jun-13,129.4,115.05
3-Jun-13,122.5,116
4-Jun-13,123.84,119.1
5-Jun-13,123.47,119.9
6-Jun-13,123.1,117.25
7-Jun-13,119,106.42
8-Jun-13,111.42,107.3
9-Jun-13,108.99,88.5
10-Jun-13,110.1,95
11-Jun-13,109.6,104
12-Jun-13,111.79,106.73
13-Jun-13,110.3,100.53
14-Jun-13,104.7,98
15-Jun-13,103.7,98
16-Jun-13,101.6,98.95
17-Jun-13,102.21,99
18-Jun-13,111.11,101.03
19-Jun-13,110.22,105.75
20-Jun-13,114.3,107.5
21-Jun-13,114.99,107.69
22-Jun-13,109.96,107.51
23-Jun-13,108.8,106.23
24-Jun-13,108.33,100.98
25-Jun-13,106.47,101.01
26-Jun-13,105.49,102.79
27-Jun-13,104,101.1
28-Jun-13,101.74,92.33
29-Jun-13,99.99,93
30-Jun-13,98.12,94.22
1-Jul-13,97.66,86.3
2-Jul-13,92.3,87.51
3-Jul-13,90.98,76.98
4-Jul-13,83.11,72
5-Jul-13,80,65.53
6-Jul-13,75,66.82
7-Jul-13,74.56,66.62
8-Jul-13,80,72.6
9-Jul-13,78.3,72.52
10-Jul-13,87,76.2
11-Jul-13,90.28,85.08
12-Jul-13,104,88.17
13-Jul-13,98.25,88.06
14-Jul-13,98.7,92.86
15-Jul-13,101.9,93.11
16-Jul-13,99.86,96.14
17-Jul-13,99.97,96.18
18-Jul-13,98.8,86.2
19-Jul-13,95.2,87.8
20-Jul-13,93.1,89.27
21-Jul-13,91.95,88
22-Jul-13,92,90.08
23-Jul-13,96.82,91.6
24-Jul-13,95.99,93
25-Jul-13,97.33,93.87
26-Jul-13,97.47,96
27-Jul-13,97,93
28-Jul-13,100.58,94
29-Jul-13,102.5,98.45
30-Jul-13,107.99,100.47
31-Jul-13,111.34,103.88
1-Aug-13,108,103.01
2-Aug-13,108,101.21
3-Aug-13,105.78,102
4-Aug-13,105.95,103.52
5-Aug-13,107.77,105
6-Aug-13,107.38,105.56
7-Aug-13,106.75,106.75
8-Aug-13,106.75,101.26
9-Aug-13,105.75,101.94
10-Aug-13,103.9,102.41
11-Aug-13,105.19,102.75
12-Aug-13,108,103.5
13-Aug-13,109.35,104.65
14-Aug-13,115,108
15-Aug-13,113.25,109
16-Aug-13,112.3,108.52
17-Aug-13,113.75,108.22
18-Aug-13,114.69,112
19-Aug-13,123.06,111.77
20-Aug-13,123.01,117.51
21-Aug-13,124.91,119.68
22-Aug-13,123.5,120.6
23-Aug-13,122,118.44
24-Aug-13,121.39,118.02
25-Aug-13,122.99,119.17
26-Aug-13,122.75,119.93
27-Aug-13,127.24,120.07
28-Aug-13,127.32,122.62
29-Aug-13,123.7,122.21
30-Aug-13,135.75,120.99
31-Aug-13,140.89,132.72
1-Sep-13,145.81,134.81
2-Sep-13,146.5,134.89
3-Sep-13,138.34,133
4-Sep-13,144.5,123.61
5-Sep-13,131.44,121.83
6-Sep-13,127.34,119.15
7-Sep-13,125.94,118.46
