Date,High,Low
14-Feb-14,0.378883,0.213899
15-Feb-14,0.354461,0.219434
16-Feb-14,0.459833,0.310345
17-Feb-14,1.5,0.402588
18-Feb-14,1.5,0.841751
19-Feb-14,1.21,0.851995
20-Feb-14,1.23,0.894865
21-Feb-14,1.33,1.02
22-Feb-14,1.26,0.696502
23-Feb-14,3.36,0.623443
24-Feb-14,1.19,0.418532
25-Feb-14,0.839383,0.527474
26-Feb-14,0.739818,0.494515
27-Feb-14,0.742251,0.549852
28-Feb-14,0.625539,0.458697
1-Mar-14,1.07,0.528973
2-Mar-14,1.08,0.815903
3-Mar-14,4.4,0.935749
4-Mar-14,1.21,0.970883
5-Mar-14,1.07,0.941151
6-Mar-14,1.05,0.952003
7-Mar-14,1.1,0.877912
8-Mar-14,0.953494,0.85686
9-Mar-14,0.958778,0.806353
10-Mar-14,0.91216,0.745242
11-Mar-14,0.922435,0.764712
12-Mar-14,0.953882,0.858214
13-Mar-14,0.895094,0.810772
14-Mar-14,0.84608,0.78516
15-Mar-14,0.816057,0.739031
16-Mar-14,0.800764,0.755205
17-Mar-14,0.821393,0.749368
18-Mar-14,0.780172,0.730293
19-Mar-14,0.768236,0.728004
20-Mar-14,0.755714,0.701852
21-Mar-14,0.751899,0.679063
22-Mar-14,0.718955,0.681694
23-Mar-14,0.728952,0.693478
24-Mar-14,0.892484,0.700397
25-Mar-14,0.900979,0.795766
26-Mar-14,0.870226,0.79043
27-Mar-14,0.865513,0.6835
28-Mar-14,0.774768,0.683257
29-Mar-14,0.728762,0.702573
30-Mar-14,0.710038,0.612809
31-Mar-14,0.68689,0.624873
1-Apr-14,0.747204,0.638385
2-Apr-14,0.740497,0.589991
3-Apr-14,0.666765,0.573639
4-Apr-14,0.662537,0.62528
5-Apr-14,0.703904,0.620445
6-Apr-14,0.723713,0.630182
7-Apr-14,0.64933,0.590722
8-Apr-14,0.628222,0.580698
9-Apr-14,0.61673,0.583104
10-Apr-14,0.591656,0.44896
11-Apr-14,0.576868,0.441314
12-Apr-14,0.591372,0.535384
13-Apr-14,0.576653,0.520363
14-Apr-14,0.6012,0.521968
15-Apr-14,0.653352,0.576325
16-Apr-14,0.687299,0.631659
17-Apr-14,0.669649,0.610727
18-Apr-14,1.03,0.612899
19-Apr-14,0.794215,0.701508
20-Apr-14,0.754119,0.689135
21-Apr-14,0.745336,0.673071
22-Apr-14,0.728795,0.666159
23-Apr-14,1.01,0.713825
24-Apr-14,1.15,0.871977
25-Apr-14,1.97,1
26-Apr-14,2.41,1.39
27-Apr-14,2,1.54
28-Apr-14,1.77,1.62
29-Apr-14,1.7,1.45
30-Apr-14,1.66,1.49
1-May-14,1.59,1.47
2-May-14,1.54,1.18
3-May-14,1.35,1.14
4-May-14,1.7,1.16
5-May-14,1.84,1.52
6-May-14,1.71,1.6
7-May-14,1.69,1.56
8-May-14,1.74,1.61
9-May-14,2.33,1.63
10-May-14,2.88,2.04
11-May-14,2.82,2.54
12-May-14,2.66,2.15
13-May-14,2.8,2.43
14-May-14,4.69,2.72
15-May-14,7.34,4
16-May-14,6.62,4.99
17-May-14,6.07,4.11
18-May-14,6.38,4.22
19-May-14,7.22,6.12
20-May-14,7.06,6.13
21-May-14,8,6.78
22-May-14,11.23,7.98
23-May-14,15.03,11.06
24-May-14,13.85,10.63
25-May-14,15.15,11.85
26-May-14,15.18,8.4
27-May-14,12.07,8.31
28-May-14,10.68,6.94
29-May-14,9.94,6.13
30-May-14,11.97,8.41
31-May-14,12.5,10.99
1-Jun-14,13.75,11.19
2-Jun-14,16,12.73
3-Jun-14,14.67,12.81
4-Jun-14,13.89,12.03
5-Jun-14,12.62,10.61
6-Jun-14,12.1,10.15
7-Jun-14,11.8,10.38
8-Jun-14,11,8.75
9-Jun-14,9.82,8.68
10-Jun-14,11.84,9.42
11-Jun-14,11.65,10.27
12-Jun-14,11.35,10.02
13-Jun-14,10.89,10.16
14-Jun-14,10.68,9.78
15-Jun-14,10.35,9.54
16-Jun-14,10.44,10.09
17-Jun-14,10.45,10.04
18-Jun-14,10.52,9.91
19-Jun-14,11.12,10
20-Jun-14,12.4,8.92
21-Jun-14,10.24,8.91
22-Jun-14,9.95,9.27
23-Jun-14,10.03,9.45
24-Jun-14,9.9,9.44
25-Jun-14,9.53,8.99
26-Jun-14,10.63,8.97
27-Jun-14,10.25,9.84
28-Jun-14,9.86,9.34
29-Jun-14,9.73,9.12
30-Jun-14,9.44,8.28
1-Jul-14,9.13,7.82
2-Jul-14,8.3,6.14
3-Jul-14,8.37,6.19
4-Jul-14,8.05,7.56
5-Jul-14,7.54,6.48
6-Jul-14,7.33,6.02
7-Jul-14,6.87,6.16
8-Jul-14,7.64,6.82
9-Jul-14,7.41,7.09
10-Jul-14,7.15,6.36
11-Jul-14,6.98,6.48
12-Jul-14,6.7,6.45
13-Jul-14,6.65,6.33
