Date,High,Low
24-Jul-16,0.959354,0.737342
25-Jul-16,0.932862,0.452446
26-Jul-16,2.85,0.600358
27-Jul-16,2.46,1.26
28-Jul-16,1.92,1.37
29-Jul-16,1.8,1.55
30-Jul-16,1.71,1.55
31-Jul-16,1.91,1.56
1-Aug-16,2.34,1.78
2-Aug-16,3.53,2.31
3-Aug-16,3.2,2.36
4-Aug-16,2.76,2.1
5-Aug-16,2.6,2.28
6-Aug-16,2.86,2.57
7-Aug-16,2.74,2.06
8-Aug-16,2.38,2.05
9-Aug-16,2.22,1.79
10-Aug-16,2.04,1.64
11-Aug-16,1.96,1.59
12-Aug-16,2.09,1.8
13-Aug-16,1.93,1.82
14-Aug-16,1.98,1.87
15-Aug-16,2,1.83
16-Aug-16,1.9,1.8
17-Aug-16,1.87,1.72
18-Aug-16,1.78,1.65
19-Aug-16,1.81,1.61
20-Aug-16,1.78,1.68
21-Aug-16,1.77,1.7
22-Aug-16,1.74,1.62
23-Aug-16,1.68,1.56
24-Aug-16,1.64,1.44
25-Aug-16,1.45,1.26
26-Aug-16,1.47,1.31
27-Aug-16,1.46,1.35
28-Aug-16,1.36,1.29
29-Aug-16,1.34,1.23
30-Aug-16,1.31,1.15
31-Aug-16,1.28,1.17
1-Sep-16,1.49,1.17
2-Sep-16,1.48,1.37
3-Sep-16,1.4,1.32
4-Sep-16,1.46,1.32
5-Sep-16,1.53,1.43
6-Sep-16,1.51,1.44
7-Sep-16,1.48,1.44
8-Sep-16,1.51,1.44
9-Sep-16,1.43,1.37
10-Sep-16,1.45,1.39
11-Sep-16,1.43,1.33
12-Sep-16,1.35,1.31
13-Sep-16,1.33,1.29
14-Sep-16,1.31,1.25
15-Sep-16,1.31,1.27
16-Sep-16,1.34,1.27
17-Sep-16,1.33,1.3
18-Sep-16,1.35,1.32
19-Sep-16,1.33,1.28
20-Sep-16,1.28,1.24
21-Sep-16,1.26,1.22
22-Sep-16,1.33,1.13
23-Sep-16,1.29,1.22
24-Sep-16,1.25,1.22
25-Sep-16,1.25,1.21
26-Sep-16,1.22,1.2
27-Sep-16,1.21,1.17
28-Sep-16,1.27,1.2
29-Sep-16,1.29,1.22
30-Sep-16,1.27,1.24
1-Oct-16,1.26,1.17
2-Oct-16,1.22,1.19
3-Oct-16,1.22,1.17
4-Oct-16,1.2,1.16
5-Oct-16,1.23,1.16
6-Oct-16,1.19,1.16
7-Oct-16,1.18,1.15
8-Oct-16,1.2,1.16
9-Oct-16,1.19,1.17
10-Oct-16,1.17,1.15
11-Oct-16,1.17,1.09
12-Oct-16,1.1,1.01
13-Oct-16,1.05,0.985671
14-Oct-16,1.01,0.987065
15-Oct-16,0.998779,0.990081
16-Oct-16,1.21,0.990742
17-Oct-16,1.2,1.07
18-Oct-16,1.08,1.02
19-Oct-16,1.08,1.03
20-Oct-16,1.06,1.04
21-Oct-16,1.06,1.03
22-Oct-16,1.05,1.03
23-Oct-16,1.05,1.03
24-Oct-16,1.05,1.03
25-Oct-16,1.04,1.01
26-Oct-16,1.04,1.01
27-Oct-16,1.04,0.98783
28-Oct-16,1,0.942647
29-Oct-16,0.972594,0.872589
30-Oct-16,0.954583,0.885454
31-Oct-16,0.93045,0.897589
1-Nov-16,0.904825,0.870474
2-Nov-16,0.900933,0.876185
3-Nov-16,0.921573,0.882403
4-Nov-16,1,0.891135
5-Nov-16,1.06,0.9581
6-Nov-16,1.04,0.971174
7-Nov-16,1,0.927765
8-Nov-16,0.948537,0.923585
9-Nov-16,0.941046,0.90849
10-Nov-16,0.956011,0.898123
11-Nov-16,0.942383,0.897221
12-Nov-16,0.942472,0.902713
13-Nov-16,0.921815,0.902149
14-Nov-16,0.909434,0.886552
15-Nov-16,0.930568,0.883773
16-Nov-16,0.929437,0.907834
17-Nov-16,0.912217,0.891184
18-Nov-16,0.899389,0.869739
19-Nov-16,0.872324,0.85854
20-Nov-16,0.878762,0.854087
21-Nov-16,0.862085,0.844641
22-Nov-16,0.869077,0.838704
23-Nov-16,0.85043,0.808571
24-Nov-16,0.818415,0.736664
25-Nov-16,0.861533,0.763722
26-Nov-16,0.842262,0.781507
27-Nov-16,0.801659,0.773297
28-Nov-16,0.785192,0.75756
29-Nov-16,0.782389,0.721561
30-Nov-16,0.766068,0.744628
1-Dec-16,0.791416,0.746875
