Date,High,Low
7-Aug-15,3.54,2.52
8-Aug-15,2.8,0.714725
9-Aug-15,0.87981,0.629191
10-Aug-15,0.729854,0.636546
11-Aug-15,1.13,0.663235
12-Aug-15,1.29,0.883608
13-Aug-15,1.97,1.17
14-Aug-15,2.26,1.75
15-Aug-15,1.88,1.57
16-Aug-15,1.7,1.09
17-Aug-15,1.58,1.19
18-Aug-15,1.33,1.09
19-Aug-15,1.32,1.17
20-Aug-15,1.53,1.25
21-Aug-15,1.56,1.35
22-Aug-15,1.48,1.35
23-Aug-15,1.41,1.3
24-Aug-15,1.36,1.23
25-Aug-15,1.24,1.13
26-Aug-15,1.2,1.06
27-Aug-15,1.19,1.14
28-Aug-15,1.21,1.12
29-Aug-15,1.21,1.15
30-Aug-15,1.37,1.17
31-Aug-15,1.4,1.2
1-Sep-15,1.39,1.34
2-Sep-15,1.35,1.26
3-Sep-15,1.31,1.21
4-Sep-15,1.3,1.24
5-Sep-15,1.34,1.27
6-Sep-15,1.37,1.29
7-Sep-15,1.31,1.24
8-Sep-15,1.28,1.23
9-Sep-15,1.26,1.2
10-Sep-15,1.22,1.14
11-Sep-15,1.17,0.940675
12-Sep-15,1.11,0.96978
13-Sep-15,1.04,0.902832
14-Sep-15,0.949387,0.87176
15-Sep-15,1.05,0.875189
16-Sep-15,0.952698,0.901639
17-Sep-15,0.909204,0.831132
18-Sep-15,0.888102,0.833908
19-Sep-15,0.911883,0.833784
20-Sep-15,0.947741,0.873205
21-Sep-15,0.957326,0.878301
22-Sep-15,0.919337,0.865225
23-Sep-15,0.90891,0.885136
24-Sep-15,0.908571,0.79346
25-Sep-15,0.825665,0.712745
26-Sep-15,0.787544,0.709328
27-Sep-15,0.791277,0.719169
28-Sep-15,0.725677,0.557062
29-Sep-15,0.67583,0.558346
30-Sep-15,0.746722,0.635861
1-Oct-15,0.734307,0.655906
2-Oct-15,0.69112,0.654605
3-Oct-15,0.709204,0.675482
4-Oct-15,0.693126,0.660716
5-Oct-15,0.674438,0.62445
6-Oct-15,0.653944,0.60623
7-Oct-15,0.656301,0.602423
8-Oct-15,0.633138,0.591971
9-Oct-15,0.692296,0.632116
10-Oct-15,0.649022,0.624374
11-Oct-15,0.639506,0.618335
12-Oct-15,0.657789,0.62603
13-Oct-15,0.63024,0.599214
14-Oct-15,0.61224,0.483974
15-Oct-15,0.572714,0.51473
16-Oct-15,0.568861,0.522533
17-Oct-15,0.56346,0.526961
18-Oct-15,0.552234,0.512861
19-Oct-15,0.521546,0.480994
20-Oct-15,0.501898,0.431648
21-Oct-15,0.482988,0.420897
22-Oct-15,0.619466,0.420991
23-Oct-15,0.611743,0.504284
24-Oct-15,0.577396,0.518688
25-Oct-15,0.688192,0.561383
26-Oct-15,0.757517,0.597098
27-Oct-15,0.898172,0.70889
28-Oct-15,1.06,0.807857
29-Oct-15,1.21,0.947374
30-Oct-15,1.35,0.96816
31-Oct-15,1.06,0.900171
1-Nov-15,1.08,0.899082
2-Nov-15,1.1,0.953647
3-Nov-15,1.07,0.936615
4-Nov-15,1.04,0.725665
5-Nov-15,0.991259,0.860382
6-Nov-15,0.989848,0.852929
7-Nov-15,0.943787,0.863539
8-Nov-15,1.03,0.915661
9-Nov-15,1.11,0.945263
10-Nov-15,1.05,0.920968
11-Nov-15,0.945278,0.729775
12-Nov-15,0.913919,0.76351
13-Nov-15,0.917309,0.846023
14-Nov-15,0.906113,0.876908
15-Nov-15,0.921516,0.874957
16-Nov-15,0.944732,0.891971
17-Nov-15,1.03,0.905794
18-Nov-15,1.01,0.940516
19-Nov-15,1.01,0.937498
20-Nov-15,0.955735,0.898576
21-Nov-15,0.978743,0.92094
22-Nov-15,0.984132,0.958982
23-Nov-15,0.969057,0.93387
24-Nov-15,0.948055,0.895931
25-Nov-15,0.899493,0.851106
26-Nov-15,0.903643,0.80436
27-Nov-15,0.900051,0.860695
28-Nov-15,0.929293,0.862122
29-Nov-15,0.914153,0.860533
30-Nov-15,0.895054,0.847696
1-Dec-15,0.886736,0.853937
2-Dec-15,0.878017,0.818924
3-Dec-15,0.837664,0.785086
4-Dec-15,0.859575,0.802373
5-Dec-15,0.872821,0.824444
6-Dec-15,0.882436,0.833115
7-Dec-15,0.850791,0.78765
8-Dec-15,0.823645,0.782328
9-Dec-15,0.824454,0.770488
10-Dec-15,0.86159,0.787291
11-Dec-15,0.929762,0.819789
12-Dec-15,1.05,0.928546
13-Dec-15,0.989394,0.937438
14-Dec-15,1.01,0.950178
15-Dec-15,1.03,0.98224
16-Dec-15,1.02,0.974927
