Date,High,Low
28-Apr-13,4.4,4.18
29-Apr-13,4.57,4.23
30-Apr-13,4.57,4.17
1-May-13,4.36,3.52
2-May-13,4.04,3.01
3-May-13,3.45,2.4
4-May-13,3.64,2.9
5-May-13,3.69,3.35
6-May-13,3.78,3.12
7-May-13,3.41,2.94
8-May-13,3.49,3.28
9-May-13,3.44,3.29
10-May-13,3.63,3.37
11-May-13,3.48,3.3
12-May-13,3.42,3.22
13-May-13,3.37,3.2
14-May-13,3.33,2.78
15-May-13,3.04,2.64
16-May-13,2.97,2.69
17-May-13,3.34,2.87
18-May-13,3.36,3.13
19-May-13,3.41,3.19
20-May-13,3.32,3.15
21-May-13,3.22,3.04
22-May-13,3.14,3.03
23-May-13,3.19,3.09
24-May-13,3.19,3.04
25-May-13,3.2,3.05
26-May-13,3.33,3.09
27-May-13,3.26,3.02
28-May-13,3.13,3.02
29-May-13,3.12,3.02
30-May-13,3.09,2.88
31-May-13,2.99,2.69
1-Jun-13,2.97,2.8
2-Jun-13,2.86,2.56
3-Jun-13,2.75,2.61
4-Jun-13,2.9,2.7
5-Jun-13,2.99,2.81
6-Jun-13,2.91,2.74
7-Jun-13,2.79,2.51
8-Jun-13,2.66,2.54
9-Jun-13,2.59,2.07
10-Jun-13,2.58,2.26
11-Jun-13,2.5,2.18
12-Jun-13,2.45,2.31
13-Jun-13,2.49,2.23
14-Jun-13,2.29,2.09
15-Jun-13,2.21,2.05
16-Jun-13,2.15,2.02
17-Jun-13,2.29,2.09
18-Jun-13,2.37,2.19
19-Jun-13,2.34,2.25
20-Jun-13,2.4,2.27
21-Jun-13,2.87,2.27
22-Jun-13,3.58,2.66
23-Jun-13,3.34,2.9
24-Jun-13,3.15,2.71
25-Jun-13,2.91,2.77
26-Jun-13,2.95,2.75
27-Jun-13,3.03,2.84
28-Jun-13,3.04,2.67
29-Jun-13,2.93,2.7
30-Jun-13,3,2.77
1-Jul-13,3.3,2.88
2-Jul-13,3.03,2.81
3-Jul-13,3.03,2.61
4-Jul-13,2.78,2.49
5-Jul-13,2.72,2.33
6-Jul-13,2.62,2.37
7-Jul-13,2.66,2.38
8-Jul-13,2.74,2.49
9-Jul-13,2.65,2.48
10-Jul-13,2.81,2.58
11-Jul-13,2.87,2.64
12-Jul-13,2.91,2.7
13-Jul-13,2.91,2.67
14-Jul-13,2.97,2.78
15-Jul-13,3.06,2.85
16-Jul-13,3.18,2.95
