Date,High,Low
21-May-14,2.65,1.23
22-May-14,2.19,1.36
23-May-14,3.43,2.05
24-May-14,4.01,2.62
25-May-14,4.04,2.8
26-May-14,3.76,2.31
27-May-14,3.03,2.07
28-May-14,2.85,1.91
29-May-14,2.49,1.68
30-May-14,1.87,1.08
31-May-14,2.28,1.41
1-Jun-14,2.57,1.54
2-Jun-14,1.94,1.6
3-Jun-14,2.1,1.65
4-Jun-14,1.99,1.71
6-Jun-14,1.51,1.17
7-Jun-14,1.69,1.21
8-Jun-14,1.44,1.24
9-Jun-14,1.64,1.27
10-Jun-14,2.39,1.31
11-Jun-14,2.17,1.53
12-Jun-14,2.17,1.53
13-Jun-14,1.96,1.62
14-Jun-14,2.82,1.88
15-Jun-14,2.75,2.25
16-Jun-14,3.55,2.62
17-Jun-14,3.31,2.72
18-Jun-14,2.98,2.46
19-Jun-14,3.52,2.68
20-Jun-14,4.59,3.12
21-Jun-14,5.85,4.14
22-Jun-14,5.21,4.02
23-Jun-14,4.82,3.77
24-Jun-14,4.07,2.96
25-Jun-14,3.39,2.63
26-Jun-14,3.38,2.8
27-Jun-14,3,2.07
28-Jun-14,2.9,2.25
29-Jun-14,2.76,2.26
30-Jun-14,2.7,2.44
1-Jul-14,2.65,2.34
2-Jul-14,2.54,2.26
3-Jul-14,2.82,2.23
4-Jul-14,3,2.54
5-Jul-14,2.64,2.44
6-Jul-14,2.48,2.29
7-Jul-14,2.4,1.95
8-Jul-14,2.36,1.97
9-Jul-14,2.31,1.99
10-Jul-14,2.09,1.86
11-Jul-14,1.92,1.72
12-Jul-14,1.94,1.72
13-Jul-14,1.97,1.46
14-Jul-14,1.99,1.62
15-Jul-14,2.2,1.79
16-Jul-14,2.93,2.05
17-Jul-14,3.58,2.64
18-Jul-14,3.29,2.46
19-Jul-14,3.07,2.54
20-Jul-14,2.93,2.58
21-Jul-14,3.14,2.65
22-Jul-14,3.32,3.01
23-Jul-14,3.24,2.84
24-Jul-14,2.97,2.28
25-Jul-14,2.71,2.31
26-Jul-14,2.77,2.51
27-Jul-14,2.65,2.45
28-Jul-14,2.7,2.42
29-Jul-14,2.8,2.56
30-Jul-14,2.63,2.5
31-Jul-14,2.64,2.49
1-Aug-14,2.67,2.49
2-Aug-14,2.73,2.5
3-Aug-14,2.5,2.25
4-Aug-14,37.78,1.99
5-Aug-14,2.2,1.98
6-Aug-14,2.28,2.13
7-Aug-14,2.24,2.1
8-Aug-14,2.21,2.11
9-Aug-14,2.18,2.08
10-Aug-14,2.12,1.99
11-Aug-14,2.17,1.93
12-Aug-14,2.1,1.97
13-Aug-14,2.04,1.83
14-Aug-14,1.92,1.69
15-Aug-14,1.8,1.52
16-Aug-14,1.61,1.49
17-Aug-14,1.65,1.42
18-Aug-14,1.65,1.34
19-Aug-14,1.65,1.39
20-Aug-14,1.96,1.61
21-Aug-14,1.9,1.78
22-Aug-14,1.9,1.75
23-Aug-14,1.86,1.73
24-Aug-14,1.97,1.81
25-Aug-14,2.08,1.89
26-Aug-14,2.1,1.9
27-Aug-14,2.04,1.94
28-Aug-14,2.24,2
29-Aug-14,2.28,2.14
30-Aug-14,2.49,2.19
31-Aug-14,2.56,2.1
1-Sep-14,2.28,1.97
2-Sep-14,2.07,1.89
3-Sep-14,2.09,1.9
4-Sep-14,2.16,1.88
5-Sep-14,2.11,1.86
6-Sep-14,2,1.9
