Date,High,Low
1-Apr-15,0.000458,0.00017
2-Apr-15,0.000323,0.000227
3-Apr-15,0.00033,0.000291
4-Apr-15,0.000318,0.000251
5-Apr-15,0.000283,0.000218
6-Apr-15,0.000299,0.000229
7-Apr-15,0.000288,0.000234
8-Apr-15,0.000259,0.000223
9-Apr-15,0.000239,0.000213
10-Apr-15,0.000227,0.000167
11-Apr-15,0.000192,0.000143
12-Apr-15,0.000173,0.000144
13-Apr-15,0.000155,0.000123
14-Apr-15,0.000178,0.000137
15-Apr-15,0.000172,0.000146
16-Apr-15,0.000174,0.000155
17-Apr-15,0.000172,0.00016
18-Apr-15,0.00017,0.000141
19-Apr-15,0.00016,0.000137
20-Apr-15,0.00015,0.000128
21-Apr-15,0.000148,0.000129
22-Apr-15,0.000149,0.000129
23-Apr-15,0.000147,0.000133
24-Apr-15,0.00015,0.000132
25-Apr-15,0.00015,0.000137
26-Apr-15,0.000141,0.000127
27-Apr-15,0.000168,0.000134
28-Apr-15,0.000163,0.000146
29-Apr-15,0.000152,0.000142
30-Apr-15,0.00016,0.000147
1-May-15,0.000158,0.000153
2-May-15,0.000158,0.000146
3-May-15,0.000158,0.000142
4-May-15,0.000157,0.000142
5-May-15,0.000153,0.000137
6-May-15,0.000146,0.000139
7-May-15,0.00016,0.000142
8-May-15,0.00016,0.000147
9-May-15,0.000155,0.00015
10-May-15,0.000159,0.000146
11-May-15,0.000155,0.00014
12-May-15,0.000166,0.000147
13-May-15,0.000174,0.000158
14-May-15,0.000169,0.000155
15-May-15,0.000165,0.000154
16-May-15,0.000178,0.000155
17-May-15,0.000162,0.000155
18-May-15,0.000178,0.000159
19-May-15,0.000181,0.000164
20-May-15,0.000179,0.000167
21-May-15,0.000185,0.00017
22-May-15,0.000183,0.000168
23-May-15,0.000187,0.000175
24-May-15,0.000183,0.000173
25-May-15,0.000188,0.000178
26-May-15,0.000191,0.000178
27-May-15,0.00021,0.000183
28-May-15,0.000201,0.000188
29-May-15,0.000198,0.000183
30-May-15,0.000192,0.000183
31-May-15,0.000185,0.000171
1-Jun-15,0.00018,0.000166
2-Jun-15,0.000185,0.000168
3-Jun-15,0.00018,0.000175
4-Jun-15,0.000179,0.000171
5-Jun-15,0.000181,0.000168
6-Jun-15,0.000179,0.000165
7-Jun-15,0.000176,0.000163
8-Jun-15,0.000172,0.000167
9-Jun-15,0.000173,0.000139
10-Jun-15,0.000159,0.000132
11-Jun-15,0.000156,0.000142
12-Jun-15,0.000154,0.000142
13-Jun-15,0.000155,0.000146
14-Jun-15,0.000159,0.000149
15-Jun-15,0.000165,0.000147
16-Jun-15,0.000161,0.000144
17-Jun-15,0.000184,0.000155
18-Jun-15,0.000172,0.000158
19-Jun-15,0.000174,0.000154
20-Jun-15,0.00016,0.00015
21-Jun-15,0.000161,0.000152
22-Jun-15,0.000166,0.000149
23-Jun-15,0.000169,0.000155
24-Jun-15,0.000159,0.000154
25-Jun-15,0.000159,0.000154
26-Jun-15,0.00016,0.000148
27-Jun-15,0.000158,0.000145
28-Jun-15,0.000158,0.000149
29-Jun-15,0.000156,0.000146
30-Jun-15,0.000163,0.000148
1-Jul-15,0.000163,0.000142
2-Jul-15,0.000149,0.00014
3-Jul-15,0.000152,0.000137
4-Jul-15,0.000146,0.000132
5-Jul-15,0.000143,0.000122
6-Jul-15,0.000134,0.000126
7-Jul-15,0.000147,0.000124
8-Jul-15,0.000162,0.000142
9-Jul-15,0.000161,0.000142
10-Jul-15,0.000157,0.000138
11-Jul-15,0.000178,0.000142
12-Jul-15,0.00017,0.000154
13-Jul-15,0.000176,0.000151
14-Jul-15,0.000166,0.000148
15-Jul-15,0.000161,0.000148
16-Jul-15,0.000151,0.000141
17-Jul-15,0.000151,0.000142
18-Jul-15,0.000152,0.000144
19-Jul-15,0.00015,0.000144
20-Jul-15,0.000172,0.000144
21-Jul-15,0.00015,0.000144
22-Jul-15,0.000151,0.000141
23-Jul-15,0.000156,0.000142
24-Jul-15,0.000194,0.000146
25-Jul-15,0.000201,0.00017
26-Jul-15,0.000189,0.000169
27-Jul-15,0.000179,0.000163
28-Jul-15,0.000175,0.000162
29-Jul-15,0.000174,0.000156
30-Jul-15,0.000171,0.00016
31-Jul-15,0.00017,0.000158
1-Aug-15,0.000165,0.000154
2-Aug-15,0.000164,0.000153
3-Aug-15,0.000157,0.000152
4-Aug-15,0.000158,0.000146
5-Aug-15,0.000157,0.000143
6-Aug-15,0.000148,0.000141
7-Aug-15,0.000146,0.00014
8-Aug-15,0.000147,0.000135
9-Aug-15,0.00014,0.000126
10-Aug-15,0.000139,0.00013
11-Aug-15,0.000139,0.000126
12-Aug-15,0.000138,0.000128
13-Aug-15,0.000133,0.000121
14-Aug-15,0.00013,0.000121
15-Aug-15,0.000125,0.000119
16-Aug-15,0.000126,0.000117
17-Aug-15,0.000127,0.000119
18-Aug-15,0.000121,0.000092
19-Aug-15,0.00011,0.000097
20-Aug-15,0.000109,0.0001
21-Aug-15,0.000107,0.0001
22-Aug-15,0.000102,0.000094
23-Aug-15,0.000104,0.000097
24-Aug-15,0.0001,0.000091
25-Aug-15,0.000096,0.000086
26-Aug-15,0.000094,0.000086
27-Aug-15,0.000098,0.000088
28-Aug-15,0.000098,0.000085
29-Aug-15,0.000104,0.000093
30-Aug-15,0.000104,0.000096
31-Aug-15,0.000104,0.000094
1-Sep-15,0.000105,0.000093
2-Sep-15,0.0001,0.000088
3-Sep-15,0.000089,0.000083
4-Sep-15,0.000097,0.000088
5-Sep-15,0.000098,0.000085
6-Sep-15,0.000096,0.000085
7-Sep-15,0.000098,0.000094
8-Sep-15,0.000101,0.000094
9-Sep-15,0.000099,0.000087
10-Sep-15,0.0001,0.000087
11-Sep-15,0.000097,0.00009
12-Sep-15,0.000096,0.000087
13-Sep-15,0.000094,0.000085
14-Sep-15,0.000091,0.000089
15-Sep-15,0.000099,0.000079
16-Sep-15,0.000131,0.000088
17-Sep-15,0.000128,0.000101
18-Sep-15,0.000112,0.000098
19-Sep-15,0.000106,0.000095
20-Sep-15,0.000102,0.000095
21-Sep-15,0.000114,0.000094
22-Sep-15,0.000131,0.0001
23-Sep-15,0.000134,0.000117
24-Sep-15,0.000125,0.000112
25-Sep-15,0.000136,0.000116
26-Sep-15,0.000136,0.00012
27-Sep-15,0.000137,0.000127
28-Sep-15,0.000144,0.000129
29-Sep-15,0.000167,0.000121
30-Sep-15,0.000171,0.000144
1-Oct-15,0.000189,0.000151
2-Oct-15,0.000183,0.000133
3-Oct-15,0.00015,0.000117
4-Oct-15,0.00013,0.000113
5-Oct-15,0.000124,0.000115
6-Oct-15,0.000125,0.000109
7-Oct-15,0.000137,0.000118
8-Oct-15,0.000136,0.000107
9-Oct-15,0.000119,0.000108
10-Oct-15,0.000118,0.000111
11-Oct-15,0.000117,0.000104
12-Oct-15,0.000123,0.000108
13-Oct-15,0.000124,0.000111
14-Oct-15,0.00013,0.000114
15-Oct-15,0.000128,0.00011
16-Oct-15,0.000122,0.000111
17-Oct-15,0.000125,0.000106
18-Oct-15,0.000129,0.00012
19-Oct-15,0.000126,0.000108
20-Oct-15,0.000124,0.000108
21-Oct-15,0.000118,0.000111
22-Oct-15,0.000123,0.000117
23-Oct-15,0.000125,0.000114
24-Oct-15,0.000123,0.000115
25-Oct-15,0.000132,0.000118
26-Oct-15,0.00012,0.000112
27-Oct-15,0.000122,0.000113
28-Oct-15,0.000122,0.000111
29-Oct-15,0.000142,0.000117
30-Oct-15,0.000158,0.000133
31-Oct-15,0.00016,0.000134
1-Nov-15,0.00017,0.000136
2-Nov-15,0.000164,0.000141
3-Nov-15,0.000182,0.000128
4-Nov-15,0.000187,0.00014
5-Nov-15,0.000174,0.000132
6-Nov-15,0.000156,0.000127
7-Nov-15,0.000164,0.00014
8-Nov-15,0.000169,0.000123
9-Nov-15,0.000157,0.000137
10-Nov-15,0.000153,0.000129
11-Nov-15,0.000139,0.000115
12-Nov-15,0.000138,0.000117
13-Nov-15,0.000133,0.000119
14-Nov-15,0.000128,0.000118
15-Nov-15,0.000138,0.000103
16-Nov-15,0.000129,0.000095
17-Nov-15,0.000135,0.000084
18-Nov-15,0.000119,0.000093
19-Nov-15,0.00012,0.000102
20-Nov-15,0.000117,0.000104
21-Nov-15,0.000113,0.000098
22-Nov-15,0.000117,0.000099
23-Nov-15,0.000107,0.0001
24-Nov-15,0.000106,0.000099
25-Nov-15,0.000113,0.0001
26-Nov-15,0.000115,0.000101
27-Nov-15,0.000122,0.000087
28-Nov-15,0.000114,0.000091
29-Nov-15,0.000107,0.000091
30-Nov-15,0.000109,0.000102
1-Dec-15,0.000136,0.000102
2-Dec-15,0.000127,0.000092
3-Dec-15,0.000117,0.000097
4-Dec-15,0.000122,0.000107
5-Dec-15,0.000126,0.000114
6-Dec-15,0.000125,0.000099
7-Dec-15,0.000126,0.000096
8-Dec-15,0.000137,0.000118
9-Dec-15,0.000142,0.000126
10-Dec-15,0.000211,0.000124
11-Dec-15,0.00015,0.00014
12-Dec-15,0.000153,0.000118
13-Dec-15,0.000161,0.000131
14-Dec-15,0.000143,0.000132
15-Dec-15,0.000138,0.000116
16-Dec-15,0.000194,0.000116
17-Dec-15,0.000302,0.000183
18-Dec-15,0.000249,0.000169
19-Dec-15,0.000193,0.000134
20-Dec-15,0.000164,0.00014
21-Dec-15,0.000219,0.000143
22-Dec-15,0.00021,0.000176
23-Dec-15,0.000211,0.000187
24-Dec-15,0.000205,0.000163
25-Dec-15,0.000206,0.000168
26-Dec-15,0.000186,0.000156
27-Dec-15,0.000162,0.000145
28-Dec-15,0.000166,0.00014
29-Dec-15,0.000163,0.00014
30-Dec-15,0.000173,0.000145
31-Dec-15,0.00016,0.000147
1-Jan-16,0.000173,0.000151
2-Jan-16,0.000177,0.000161
3-Jan-16,0.000175,0.00016
4-Jan-16,0.000244,0.000168
5-Jan-16,0.000205,0.000183
6-Jan-16,0.000195,0.000182
7-Jan-16,0.000264,0.000188
8-Jan-16,0.000323,0.000222
9-Jan-16,0.000275,0.000232
10-Jan-16,0.000272,0.000244
11-Jan-16,0.000257,0.000232
12-Jan-16,0.000267,0.000232
13-Jan-16,0.000259,0.000242
14-Jan-16,0.000304,0.000248
15-Jan-16,0.000328,0.000256
16-Jan-16,0.00028,0.000253
