Date,High,Low
9-Sep-16,0.558951,0.181357
10-Sep-16,0.559143,0.37096
11-Sep-16,0.398459,0.37279
12-Sep-16,0.376671,0.360443
13-Sep-16,0.375092,0.301766
14-Sep-16,0.337779,0.306223
15-Sep-16,0.365124,0.325024
16-Sep-16,0.389464,0.348948
17-Sep-16,0.427314,0.388896
18-Sep-16,0.427137,0.384916
19-Sep-16,0.384881,0.331207
20-Sep-16,0.336507,0.309502
21-Sep-16,0.318675,0.303564
22-Sep-16,0.308768,0.252592
23-Sep-16,0.277371,0.241462
24-Sep-16,0.25485,0.213843
25-Sep-16,0.224547,0.192797
26-Sep-16,0.224506,0.193879
27-Sep-16,0.202473,0.179976
28-Sep-16,0.21275,0.184495
29-Sep-16,0.208155,0.175516
30-Sep-16,0.194601,0.180176
1-Oct-16,0.216455,0.184979
2-Oct-16,0.202303,0.177092
3-Oct-16,0.192425,0.177613
4-Oct-16,0.185843,0.178659
5-Oct-16,0.289548,0.179917
6-Oct-16,0.291334,0.180059
7-Oct-16,0.20284,0.179898
8-Oct-16,0.223037,0.185864
9-Oct-16,0.205045,0.178857
10-Oct-16,0.202517,0.180081
11-Oct-16,0.195352,0.181615
12-Oct-16,0.193611,0.175684
13-Oct-16,0.186072,0.175498
14-Oct-16,0.19109,0.176211
15-Oct-16,0.191007,0.179885
16-Oct-16,0.19069,0.175885
17-Oct-16,0.192747,0.175284
18-Oct-16,0.289527,0.179325
19-Oct-16,0.205554,0.111325
20-Oct-16,0.117172,0.085342
21-Oct-16,0.093918,0.072287
22-Oct-16,0.096001,0.080013
23-Oct-16,0.085211,0.076681
24-Oct-16,0.100103,0.076476
25-Oct-16,0.322439,0.092699
26-Oct-16,0.16963,0.121312
27-Oct-16,0.140409,0.124055
28-Oct-16,0.159842,0.12378
29-Oct-16,0.176248,0.151237
30-Oct-16,0.18382,0.170264
31-Oct-16,0.229291,0.177568
1-Nov-16,0.239149,0.204285
2-Nov-16,0.219169,0.191732
3-Nov-16,0.19817,0.155788
4-Nov-16,0.183584,0.168351
5-Nov-16,0.181375,0.156657
6-Nov-16,0.16817,0.15675
7-Nov-16,0.174019,0.143322
8-Nov-16,0.173376,0.160523
9-Nov-16,0.166946,0.156541
10-Nov-16,0.179854,0.154536
11-Nov-16,0.181036,0.165815
12-Nov-16,0.179612,0.166288
13-Nov-16,0.172853,0.163703
14-Nov-16,0.196291,0.168508
15-Nov-16,0.183864,0.172835
16-Nov-16,0.177754,0.153992
17-Nov-16,0.177109,0.16256
18-Nov-16,0.196769,0.16942
19-Nov-16,0.17649,0.168427
20-Nov-16,0.171309,0.161549
21-Nov-16,0.174966,0.169408
22-Nov-16,0.17422,0.167397
23-Nov-16,0.172495,0.16694
24-Nov-16,0.186579,0.165703
25-Nov-16,0.191663,0.171885
26-Nov-16,0.185637,0.173892
27-Nov-16,0.179557,0.173007
28-Nov-16,0.175046,0.166608
29-Nov-16,0.167909,0.141612
30-Nov-16,0.150848,0.140499
1-Dec-16,0.144846,0.138559
2-Dec-16,0.145737,0.138452
3-Dec-16,0.144054,0.136455
4-Dec-16,0.157052,0.142444
5-Dec-16,0.14727,0.138194
6-Dec-16,0.14181,0.135703
7-Dec-16,0.142794,0.134726
8-Dec-16,0.138971,0.134429
9-Dec-16,0.136923,0.129699
10-Dec-16,0.132206,0.12477
11-Dec-16,0.128221,0.12073
12-Dec-16,0.140238,0.122082
13-Dec-16,0.136888,0.125618
14-Dec-16,0.12793,0.120364
15-Dec-16,0.123902,0.109819
16-Dec-16,0.118707,0.109327
17-Dec-16,0.115568,0.10174
18-Dec-16,0.117273,0.101063
19-Dec-16,0.121812,0.106848
20-Dec-16,0.124127,0.115108
21-Dec-16,0.168983,0.118599
22-Dec-16,0.184986,0.147481
23-Dec-16,0.157925,0.131227
24-Dec-16,0.151804,0.136822
25-Dec-16,0.153788,0.141296
26-Dec-16,0.182563,0.141148
27-Dec-16,0.177395,0.153932
28-Dec-16,0.162041,0.14599
29-Dec-16,0.151915,0.140106
30-Dec-16,0.14807,0.136893
31-Dec-16,0.148837,0.142705
1-Jan-17,0.147274,0.139742
2-Jan-17,0.147746,0.141841
3-Jan-17,0.147282,0.139653
4-Jan-17,0.142834,0.134433
5-Jan-17,0.143977,0.126582
6-Jan-17,0.139018,0.131087
7-Jan-17,0.135759,0.125106
8-Jan-17,0.134773,0.127755
9-Jan-17,0.13367,0.117667
10-Jan-17,0.13955,0.123113
11-Jan-17,0.13495,0.112802
12-Jan-17,0.124128,0.109263
13-Jan-17,0.124342,0.113803
14-Jan-17,0.12394,0.116299
15-Jan-17,0.132022,0.117124
16-Jan-17,0.123958,0.118628
17-Jan-17,0.122525,0.114662
18-Jan-17,0.123035,0.115687
19-Jan-17,0.123948,0.116102
20-Jan-17,0.124276,0.111754
21-Jan-17,0.127853,0.114241
22-Jan-17,0.119379,0.109804
23-Jan-17,0.130461,0.111428
24-Jan-17,0.128569,0.113295
25-Jan-17,0.129256,0.115434
26-Jan-17,0.135711,0.120759
27-Jan-17,0.135296,0.128775
28-Jan-17,0.137387,0.125774
29-Jan-17,0.14186,0.132053
30-Jan-17,0.15376,0.140489
31-Jan-17,0.153791,0.144326
1-Feb-17,0.150287,0.140878
2-Feb-17,0.147974,0.134287
3-Feb-17,0.14565,0.132985
4-Feb-17,0.147454,0.13296
5-Feb-17,0.143104,0.128306
6-Feb-17,0.138723,0.125146
7-Feb-17,0.136817,0.126972
8-Feb-17,0.134031,0.121542
9-Feb-17,0.132791,0.118249
10-Feb-17,0.13171,0.117976
11-Feb-17,0.127159,0.122483
12-Feb-17,0.137479,0.117401
13-Feb-17,0.13772,0.118105
14-Feb-17,0.121985,0.114384
15-Feb-17,0.120698,0.111437
16-Feb-17,0.126088,0.112574
17-Feb-17,0.130485,0.115022
18-Feb-17,0.130873,0.119005
19-Feb-17,0.124827,0.117671
20-Feb-17,0.127204,0.116679
21-Feb-17,0.127322,0.114101
22-Feb-17,0.124515,0.115683
23-Feb-17,0.122226,0.114699
24-Feb-17,0.136124,0.086475
25-Feb-17,0.12166,0.110955
26-Feb-17,0.115582,0.104331
27-Feb-17,0.118632,0.10963
28-Feb-17,0.118271,0.113307
1-Mar-17,0.135197,0.113717
2-Mar-17,0.135475,0.115596
3-Mar-17,0.124929,0.118119
4-Mar-17,0.125583,0.117666
5-Mar-17,0.12368,0.116513
6-Mar-17,0.124417,0.118414
7-Mar-17,0.123531,0.116952
8-Mar-17,0.128715,0.116242
9-Mar-17,0.140766,0.114151
10-Mar-17,0.141972,0.120088
11-Mar-17,0.142793,0.129965
12-Mar-17,0.14357,0.131473
13-Mar-17,0.140823,0.127288
14-Mar-17,0.137204,0.127028
15-Mar-17,0.140774,0.128158
16-Mar-17,0.136685,0.125514
17-Mar-17,0.166127,0.122856
18-Mar-17,0.172281,0.140006
19-Mar-17,0.163016,0.149322
20-Mar-17,0.162542,0.149597
21-Mar-17,0.167727,0.150715
22-Mar-17,0.179551,0.159475
23-Mar-17,0.176421,0.156976
24-Mar-17,0.178022,0.159289
25-Mar-17,0.167388,0.157475
26-Mar-17,0.175043,0.158772
27-Mar-17,0.191642,0.160717
28-Mar-17,0.235749,0.180596
29-Mar-17,0.225506,0.205719
30-Mar-17,0.22193,0.206085
31-Mar-17,0.213953,0.196505
1-Apr-17,0.206153,0.19444
2-Apr-17,0.206776,0.200261
3-Apr-17,0.205959,0.196132
4-Apr-17,0.202591,0.181038
5-Apr-17,0.192548,0.182758
6-Apr-17,0.190455,0.184234
7-Apr-17,0.192661,0.184796
8-Apr-17,0.193674,0.188398
9-Apr-17,0.191026,0.186312
10-Apr-17,0.220733,0.186149
11-Apr-17,0.211772,0.189697
12-Apr-17,0.200199,0.191723
13-Apr-17,0.196013,0.190089
14-Apr-17,0.19396,0.190495
15-Apr-17,0.194574,0.190452
16-Apr-17,0.19565,0.188923
17-Apr-17,0.192535,0.179468
18-Apr-17,0.192224,0.176355
19-Apr-17,0.190709,0.178089
20-Apr-17,0.191015,0.178645
21-Apr-17,0.185694,0.174442
22-Apr-17,0.188524,0.173304
23-Apr-17,0.185985,0.169937
24-Apr-17,0.177153,0.163354
25-Apr-17,0.184094,0.166802
26-Apr-17,0.188085,0.179909
27-Apr-17,0.20851,0.181833
28-Apr-17,0.229271,0.20142
29-Apr-17,0.29057,0.221128
30-Apr-17,0.362409,0.268994
1-May-17,0.361689,0.269563
2-May-17,0.326074,0.280153
3-May-17,0.348589,0.309078
4-May-17,0.500403,0.334537
5-May-17,0.576426,0.470129
6-May-17,0.59035,0.537649
7-May-17,0.591143,0.516306
8-May-17,0.542761,0.486931
9-May-17,0.501255,0.407576
10-May-17,0.541055,0.44926
11-May-17,0.520573,0.431391
12-May-17,0.508175,0.469682
13-May-17,0.491284,0.451528
14-May-17,0.490861,0.473253
15-May-17,0.4933,0.45415
16-May-17,0.474567,0.452551
17-May-17,0.531643,0.454101
18-May-17,0.552265,0.514519
19-May-17,0.682251,0.539752
20-May-17,0.671513,0.612225
21-May-17,0.744667,0.618864
22-May-17,0.742591,0.669175
23-May-17,0.901805,0.695115
24-May-17,1.9,0.863444
25-May-17,1.74,1.01
26-May-17,1.22,0.69411
27-May-17,1.03,0.598245
28-May-17,1.07,0.814832
29-May-17,0.974728,0.873447
30-May-17,1.13,0.970573
31-May-17,1.08,0.966531
1-Jun-17,1.3,1.01
2-Jun-17,1.4,1.18
3-Jun-17,1.36,1.15
4-Jun-17,1.32,1.22
5-Jun-17,1.35,1.25
6-Jun-17,1.37,1.2
7-Jun-17,1.36,1.27
8-Jun-17,1.36,1.19
9-Jun-17,1.59,1.33
10-Jun-17,2.07,1.53
11-Jun-17,1.73,1.52
12-Jun-17,1.69,1.4
13-Jun-17,1.86,1.5
14-Jun-17,1.94,1.68
15-Jun-17,1.84,1.54
16-Jun-17,2.81,1.72
17-Jun-17,4.18,2.7
18-Jun-17,5.26,3.47
19-Jun-17,11.81,5.46
