Date,High,Low
4-Aug-13,0.005927,0.005874
5-Aug-13,0.00598,0.005613
6-Aug-13,0.005661,0.004629
7-Aug-13,0.004682,0.004333
8-Aug-13,0.004424,0.004175
9-Aug-13,0.004367,0.004253
10-Aug-13,0.004366,0.004279
11-Aug-13,0.004421,0.0043
12-Aug-13,0.00452,0.004359
13-Aug-13,0.004463,0.004171
14-Aug-13,0.004267,0.003785
15-Aug-13,0.003804,0.003067
16-Aug-13,0.003162,0.002875
17-Aug-13,0.005684,0.003138
18-Aug-13,0.006263,0.005585
19-Aug-13,0.005839,0.005223
20-Aug-13,0.006158,0.005309
21-Aug-13,0.006349,0.00595
22-Aug-13,0.006138,0.005143
23-Aug-13,0.005232,0.004919
24-Aug-13,0.005603,0.005126
25-Aug-13,0.006148,0.005519
26-Aug-13,0.006507,0.006065
27-Aug-13,0.006936,0.006373
28-Aug-13,0.006463,0.006066
29-Aug-13,0.006246,0.005756
30-Aug-13,0.006264,0.00561
31-Aug-13,0.006081,0.005576
1-Sep-13,0.005872,0.005574
2-Sep-13,0.006115,0.005507
3-Sep-13,0.005693,0.005405
4-Sep-13,0.006276,0.005507
5-Sep-13,0.005991,0.005474
6-Sep-13,0.006151,0.005627
7-Sep-13,0.00627,0.005832
8-Sep-13,0.006304,0.00612
9-Sep-13,0.006552,0.006079
10-Sep-13,0.006332,0.005807
11-Sep-13,0.006393,0.005698
12-Sep-13,0.006442,0.006008
13-Sep-13,0.00672,0.006316
14-Sep-13,0.00655,0.006288
15-Sep-13,0.006516,0.006349
16-Sep-13,0.00708,0.006244
17-Sep-13,0.009658,0.007058
18-Sep-13,0.010871,0.009595
19-Sep-13,0.011151,0.010774
20-Sep-13,0.011142,0.010084
21-Sep-13,0.010123,0.009643
22-Sep-13,0.010552,0.009689
23-Sep-13,0.010698,0.009995
24-Sep-13,0.010467,0.010009
25-Sep-13,0.010728,0.010433
26-Sep-13,0.012094,0.010432
27-Sep-13,0.014675,0.011765
28-Sep-13,0.014966,0.013781
29-Sep-13,0.014254,0.012856
30-Sep-13,0.01285,0.010543
1-Oct-13,0.012447,0.010517
2-Oct-13,0.010518,0.007146
3-Oct-13,0.009112,0.007707
4-Oct-13,0.010013,0.008922
5-Oct-13,0.00975,0.00912
6-Oct-13,0.010599,0.009474
7-Oct-13,0.009669,0.009197
8-Oct-13,0.009749,0.009114
9-Oct-13,0.009747,0.009391
10-Oct-13,0.010115,0.009622
