Date,High,Low
3-Oct-17,4.01,3.38
2-Oct-17,4.32,3.8
1-Oct-17,4.52,4.09
30-Sep-17,4.62,4.4
29-Sep-17,4.88,4.39
28-Sep-17,5.04,4.69
27-Sep-17,4.84,4.36
26-Sep-17,4.56,4.12
25-Sep-17,4.29,3.96
24-Sep-17,4.22,3.95
23-Sep-17,4.32,3.88
22-Sep-17,4.25,3.79
21-Sep-17,4.78,3.91
20-Sep-17,5.42,4.68
19-Sep-17,5.37,4.8
18-Sep-17,5.63,4.45
17-Sep-17,4.66,4.05
16-Sep-17,4.81,4.17
15-Sep-17,4.67,3.04
14-Sep-17,5.08,3.75
13-Sep-17,5.53,4.56
12-Sep-17,5.88,5.31
11-Sep-17,6.09,5.52
10-Sep-17,6.04,5.35
9-Sep-17,5.79,5.5
8-Sep-17,6.41,5.37
7-Sep-17,6.25,5.86
6-Sep-17,6.57,5.98
5-Sep-17,6.23,5.11
4-Sep-17,6.74,5.35
3-Sep-17,6.59,5.99
2-Sep-17,7.27,6.18
1-Sep-17,7.78,6.97
31-Aug-17,7.63,7.11
30-Aug-17,7.35,6.72
29-Aug-17,7.29,6.49
28-Aug-17,7.58,6.62
27-Aug-17,7.63,6.29
26-Aug-17,6.4,5.89
25-Aug-17,6.16,5.79
24-Aug-17,6.41,5.9
23-Aug-17,6.93,5.55
22-Aug-17,5.68,4.79
21-Aug-17,5.78,5.27
20-Aug-17,5.96,5.43
19-Aug-17,5.67,4.87
18-Aug-17,6.19,5.36
17-Aug-17,6.52,5.83
16-Aug-17,6.62,5.97
15-Aug-17,7.05,5.64
14-Aug-17,6.81,5.47
13-Aug-17,7.38,6.21
12-Aug-17,7.83,6.49
11-Aug-17,8.25,7.45
10-Aug-17,8.87,7.2
9-Aug-17,7.93,7.33
8-Aug-17,8.34,7.45
7-Aug-17,7.71,6.56
6-Aug-17,7.42,6.68
5-Aug-17,7.49,6.58
4-Aug-17,6.62,5.86
3-Aug-17,6.08,5.53
2-Aug-17,6,5.4
1-Aug-17,5.98,4.94
31-Jul-17,5.13,4.66
30-Jul-17,5.2,4.75
29-Jul-17,5.22,4.4
28-Jul-17,5.04,4.33
27-Jul-17,5.34,4.74
26-Jul-17,5.37,4.57
25-Jul-17,5.92,4.31
24-Jul-17,6.35,5.65
23-Jul-17,6.96,5.94
22-Jul-17,7.15,6.25
21-Jul-17,6.27,5.22
20-Jul-17,5.38,3.87
19-Jul-17,4.63,3.82
18-Jul-17,4.8,3.59
17-Jul-17,3.9,2.86
16-Jul-17,3.26,2.5
15-Jul-17,3.29,2.87
14-Jul-17,3.66,2.99
13-Jul-17,4.37,3.42
12-Jul-17,4.35,2.66
11-Jul-17,3.53,2.34
10-Jul-17,4.32,2.67
9-Jul-17,5.19,4.28
8-Jul-17,4.95,4.32
7-Jul-17,6.25,4.82
6-Jul-17,6.29,5.84
5-Jul-17,6.32,5.83
4-Jul-17,6.54,5.94
3-Jul-17,6.05,5.63
2-Jul-17,6.04,5.28
1-Jul-17,6.4,5.54
30-Jun-17,6.78,6.22
29-Jun-17,7.02,6.17
28-Jun-17,7.26,6.22
27-Jun-17,6.85,5.4
26-Jun-17,7.23,5.32
25-Jun-17,7.68,6.66
24-Jun-17,8.56,7.47
23-Jun-17,8.49,6.9
22-Jun-17,7.27,6.85
21-Jun-17,7.67,6.64
20-Jun-17,7.84,6.86
19-Jun-17,8.18,7.3
18-Jun-17,7.85,7.31
17-Jun-17,7.97,7.63
16-Jun-17,8.2,7.51
15-Jun-17,8.4,6.58
14-Jun-17,10.08,7.64
13-Jun-17,9.55,7.4
12-Jun-17,9.61,6.98
11-Jun-17,9.61,6.46
10-Jun-17,8.83,6.97
9-Jun-17,10.54,8.54
8-Jun-17,9.76,8.89
7-Jun-17,11.13,8.94
6-Jun-17,11.1,9.87
5-Jun-17,11.26,10.03
4-Jun-17,10.85,8.13
3-Jun-17,11.68,8.61
2-Jun-17,9.21,5.85
1-Jun-17,6.12,5.04
31-May-17,6.39,4.93
30-May-17,5.99,3.76
29-May-17,4.02,3.12
28-May-17,3.21,2.65
27-May-17,3.17,1.97
26-May-17,3.43,2.59
25-May-17,3.5,2.65
24-May-17,3.43,2.85
23-May-17,3.24,1.96
22-May-17,2.1,1.88
21-May-17,2.15,1.87
20-May-17,2.01,1.62
19-May-17,1.75,1.38
18-May-17,1.42,1.24
17-May-17,1.3,1.19
16-May-17,1.26,1.15
15-May-17,1.28,1.18
14-May-17,1.32,1.24
13-May-17,1.29,1.18
12-May-17,1.37,1.23
11-May-17,1.38,1.23
10-May-17,1.37,1.12
9-May-17,1.22,0.968627
8-May-17,1.22,1.1
7-May-17,1.24,1.08
6-May-17,1.26,1.16
5-May-17,1.34,1.14
4-May-17,1.16,0.966136
3-May-17,1.06,0.76724
2-May-17,0.82059,0.722066
1-May-17,0.812804,0.70803
30-Apr-17,0.765318,0.706671
29-Apr-17,0.729943,0.646585
28-Apr-17,0.705423,0.605542
27-Apr-17,0.643248,0.582553
26-Apr-17,0.658377,0.585844
25-Apr-17,0.635376,0.574855
24-Apr-17,0.635381,0.579851
23-Apr-17,0.642939,0.585091
22-Apr-17,0.678386,0.581039
21-Apr-17,0.698216,0.648271
20-Apr-17,0.701159,0.607216
19-Apr-17,0.75726,0.665934
18-Apr-17,0.700032,0.66083
17-Apr-17,0.691317,0.631967
16-Apr-17,0.740796,0.646971
15-Apr-17,0.750817,0.591067
14-Apr-17,0.626694,0.514536
13-Apr-17,0.54918,0.399227
12-Apr-17,0.424775,0.40357
11-Apr-17,0.433431,0.403996
10-Apr-17,0.429549,0.374214
9-Apr-17,0.462887,0.418681
8-Apr-17,0.48853,0.414665
7-Apr-17,0.473411,0.375788
6-Apr-17,0.508891,0.394881
5-Apr-17,0.545997,0.380617
4-Apr-17,0.401183,0.315558
3-Apr-17,0.350436,0.264378
2-Apr-17,0.30673,0.25257
1-Apr-17,0.263652,0.197635
31-Mar-17,0.207285,0.184126
30-Mar-17,0.214291,0.186298
29-Mar-17,0.215974,0.176996
28-Mar-17,0.191233,0.163761
27-Mar-17,0.223377,0.168133
26-Mar-17,0.19622,0.132333
25-Mar-17,0.135959,0.112906
24-Mar-17,0.132655,0.114056
23-Mar-17,0.138148,0.124152
